id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
121,倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,中国香港,1987,中国香港,488589人评价,8.7,两张绝世的脸。 ,爱情/奇幻/武侠/古装,
122,超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,美国,2011,美国,312267人评价,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,剧情,
123,甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,中国香港,1996,中国香港,355401人评价,8.8,相逢只要一瞬间，等待却像是一辈子。,剧情/爱情,
124,驯龙高手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,美国,2010,美国,524597人评价,8.7,和谐的生活离不开摸头与被摸头。,动画/奇幻/冒险,
125,萤火之森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,日本,2011,日本,332647人评价,8.9,触不到的恋人。,剧情/爱情/动画/奇幻,
126,恐怖直播,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,韩国,2013,韩国,428794人评价,8.8,恐怖分子的“秋菊打官司”。,剧情/犯罪/悬疑,
127,幸福终点站,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,美国,2004,美国,370817人评价,8.8,有时候幸福需要等一等。 ,喜剧/剧情/爱情,
128,超能陆战队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,美国,2014,美国,677298人评价,8.7,Balalala~~~,喜剧/动作/科幻/动画/冒险,
129,菊次郎的夏天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,日本,1999,日本,348292人评价,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,剧情/喜剧,
130,无人知晓,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,日本,2004,日本,179828人评价,9.1,我的平常生活就是他人的幸福。,剧情,
131,爱在日落黄昏时,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924221.jpg,美国 法国,2004,美国 法国,343249人评价,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,剧情/爱情,
132,借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,日本,2010,日本,369022人评价,8.8,曾经的那段美好会沉淀为一辈子的记忆。,动画/奇幻/冒险,
133,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,美国 法国,2010,美国 法国,678930人评价,8.6,Mr. I Don't Care其实也有Care的时候。,喜剧/动画/冒险,
134,怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,美国,2001,美国,440831人评价,8.7,不要给它起名字，起了名字就有感情了。,儿童/喜剧/动画/奇幻/冒险,
135,完美的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg,美国,1993,美国,167843人评价,9.1,坏人的好总是比好人的好来得更感人。,剧情/犯罪,
136,玩具总动员3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,美国,2010,美国,342185人评价,8.8,跨度十五年的欢乐与泪水。,喜剧/动画/奇幻/冒险,
